,LOCALITY,COUNTRY,CONTINENT,CHARACTER,EPLINE,EPISODE,LINE,CONTEXT,COMMENT,Locality_Count,Country_Count,Continent_Count,EpLocalCount,EpCountryCount,EpContCount,CharLocCount,CharCountryCount,CharContCount,LATITUDE,LONGITUDE
1,,Greece,Europe,Buck Mulligan,1.034,1,34,"Your absurd name, an ancient Greek!",,0,45,1330,0,3,43,0,7,39,39,22
2,Athens,Greece,Europe,Buck Mulligan,1.043,1,43,We must go to Athens,,2,45,1330,1,3,43,1,7,39,37.96667,23.71667
3,Saxony,Germany,Europe,Buck Mulligan,1.051,1,51,A ponderous Saxon,,11,33,1330,3,4,43,2,2,39,51.02694,13.35889
4,,England,Europe,Buck Mulligan,1.052,1,52,"God, these bloody English!",,0,210,1330,0,12,43,0,13,39,51.5,-0.11667
5,,England,Europe,Buck Mulligan,1.052,1,52,"...you're not a gentleman. God, these bloody English! Bursting with money&",,0,210,1330,0,12,43,0,13,39,51.5,-0.11667
6,Oxford,England,Europe,Buck Mulligan,1.053,1,53,Because he comes from Oxford,,13,210,1330,3,12,43,4,13,39,51.75194,-1.25778
7,Oxford,England,Europe,Buck Mulligan,1.054,1,54,"You know, Dedalus, you have the real Oxford manner",,13,210,1330,3,12,43,4,13,39,51.75194,-1.25778
8,,Ireland,Europe,Buck Mulligan,1.073,1,73,A new art colour for our Irish poets...,,0,556,1330,0,14,43,0,11,39,53.41667,-8
9,,Greece,Europe,Buck Mulligan,1.079,1,79,"Ah, Dedalus, the Greeks",,0,45,1330,0,3,43,0,7,39,39,22
10,,Ireland,Europe,Stephen Dedalus,1.146,1,146,It is a symbol of Irish art,,0,556,1330,0,14,43,0,42,143,53.41667,-8
11,Oxford,England,Europe,Buck Mulligan,1.154,1,154,Tell that to the oxy chap downstairs...,,13,210,1330,3,12,43,4,13,39,51.75194,-1.25778
12,Zulu,South Africa,Africa,Buck Mulligan,1.156,1,156,His old fellow made his tin by selling jalap to Zulus...,,2,15,83,1,1,2,1,1,3,-29,31
13,,Ireland,Europe,Buck Mulligan,1.158,1,158,...if you and I could only work together we might do something for the island...,,0,556,1330,0,14,43,0,11,39,53.41667,-8
14,,England,Europe,Buck Mulligan,1.166,1,166,Palefaces: they hold their ribs with laughter...,Paleface is Irish slang for the English,0,210,1330,0,12,43,0,13,39,51.5,-0.11667
15,Magdalen College,England,Europe,Buck Mulligan,1.169,1,169,...chased by Ades of Magdalen with the tailor's shears,,1,210,1330,1,12,43,1,13,39,51.75237,-1.24708
16,Saxony,Germany,Europe,Buck Mulligan,1.232,1,232,The Sassenach wants his morning rashers,,11,33,1330,3,4,43,2,2,39,51.02694,13.35889
