,LOCALITY,COUNTRY,CONTINENT,CHARACTER,EPLINE,EPISODE,LINE,CONTEXT,COMMENT,Locality_Count,Country_Count,Continent_Count,EpLocalCount,EpCountryCount,EpContCount,CharLocCount,CharCountryCount,CharContCount,LATITUDE,LONGITUDE
2,Athens,Greece,Europe,Buck Mulligan,1.043,1,43,We must go to Athens,,2,45,1330,1,3,43,1,7,39,37.96667,23.71667
3,Saxony,Germany,Europe,Buck Mulligan,1.051,1,51,A ponderous Saxon,,11,33,1330,3,4,43,2,2,39,51.02694,13.35889
6,Oxford,England,Europe,Buck Mulligan,1.053,1,53,Because he comes from Oxford,,13,210,1330,3,12,43,4,13,39,51.75194,-1.25778
12,Zulu,South Africa,Africa,Buck Mulligan,1.156,1,156,His old fellow made his tin by selling jalap to Zulus...,,2,15,83,1,1,2,1,1,3,-29,31
15,Magdalen College,England,Europe,Buck Mulligan,1.169,1,169,...chased by Ades of Magdalen with the tailor's shears,,1,210,1330,1,12,43,1,13,39,51.75237,-1.24708
18,London,England,Europe,Narrator 1,1.299,1,299,...singing out of tune with a Cockney accent,,33,210,1330,1,12,43,1,1,2,51.50722,-0.1275
19,Clongowes,Ireland,Europe,Stephen Dedalus,1.311,1,311,So I carried the boat of incense then at Clongowes,,6,556,1330,1,14,43,3,42,143,53.31092,-6.68344
20,Paris,France,Europe,Buck Mulligan,1.342,1,342,"O, damn you and your Paris fads!",,34,92,1330,1,3,43,1,4,39,48.8567,2.3508
21,Dundrum,Ireland,Europe,Buck Mulligan,1.366,1,366,...ten page about the folk and the fishgods of Dundrum,"There are two Dundrums in Ireland, a village just south of Dublin and another to",3,556,1330,1,14,43,1,11,39,53.28972,-6.24417
30,"Latin Quarter, Paris",France,Europe,Buck Mulligan,1.519,1,519,And there's your Latin quarter hat,,2,92,1330,1,3,43,1,4,39,48.85142,2.34317
32,Elsinore,Denmark,Europe,Haines,1.567,1,567,...these cliffs here somehow remind me of Elsinore,,3,6,1330,1,1,43,1,1,12,56.03611,12.60833
33,Mount Calvary,Turkish Empire,Asia,Buck Mulligan,1.587,1,587,So here's to disciples and Calvary,,2,109,186,1,2,2,1,3,5,31.77861,35.22944
34,Mount of Olives,Turkish Empire,Asia,Buck Mulligan,1.599,1,599,"And Olivet's breezy -- Goodbye, now goodbye!",Olivet is another name for the Mount of Olives,1,109,186,1,2,2,1,3,5,31.78333,35.25083
40,Rome,Italy,Europe,Stephen Dedalus,1.644,1,644,... and the holy Roman catholic and apostolic church,,33,76,1330,1,4,43,5,11,143,41.9,12.5
48,Tarentum,Greece,Europe,Cochrane,2.002,2,2,"Tarentum, sir","Tarentum's precise limits are not known, but it surrounded the alter of Dis and",1,45,1330,1,2,29,1,1,1,43.90447,12.42085
49,Asculum,Italy,Europe,Stephen Dedalus,2.012,2,12,"Asculum, Stephen said, glancing at the name...",,1,76,1330,1,1,29,1,11,143,41.21556,15.55778
50,"Saint Genevieve Library, Paris",France,Europe,Narrator 2,2.069,2,69,...into the studious silence of the library of Saint Genevieve where he had read,,1,92,1330,1,5,29,1,4,7,48.84708,2.34583
53,Moorish World,,Africa,Stephen Dedalus,2.157,2,157,...imps of fancy of the Moors,,10,0,83,1,0,1,2,0,13,27.453,-1.374
62,Ards Penninsula,Ireland,Europe,Garrett Deasy,2.283,2,283,...and put on his topboots to ride to Dublin from the Ards of Down,,1,556,1330,1,8,29,1,7,18,54.5,-5.5
64,Westminster,England,Europe,Narrator 2,2.302,2,302,...the duke of Westminster's Shotover,,2,210,1330,1,10,29,1,2,7,51.4995,-0.1333
67,Galway harbour,Ireland,Europe,Garrett Deasy,2.326,2,326,Liverpool ring which jockeyed the Galway harbour scheme,,1,556,1330,1,8,29,1,7,18,53.27194,-9.04889
68,Liverpool,England,Europe,Garrett Deasy,2.326,2,326,Liverpool ring which jockeyed the Galway harbour scheme,,7,210,1330,1,10,29,1,7,18,53.4,-3
69,Murzsteg,Austria,Europe,Garrett Deasy,2.334,2,334,"Emperor's horses at Murzsteg, lower Austria",,1,15,1330,1,2,29,1,2,18,47.675,15.49222
76,Troy,Turkish Empire,Asia,Garrett Deasy,2.392,2,392,...ten years the Greeks made war on Troy,,4,109,186,1,1,3,1,1,1,39.9575,26.23889
78,Breffni,Ireland,Europe,Garrett Deasy,2.394,2,394,"...O'Rourke, prince of Breffni",,2,556,1330,1,8,29,1,7,18,54,-7.75
85,Library of Alexandria,Egypt,Africa,Stephen Dedalus,3.143,3,143,"...to be sent if you died to all the great libraries of the world, including Ale",,1,37,83,1,3,3,1,9,13,31.2089,29.9092
86,"the bar MacMahon, Paris",France,Europe,Stephen Dedalus,3.163,3,163,"Patrice, hom on furlough, lapped warm milk with me in the bar MacMahon","In Paris, named after Patrice de Mac-Mahon",1,92,1330,1,16,45,1,29,143,48.8567,2.3508
92,Newhaven,England,Europe,Stephen Dedalus,3.196,3,196,"Pretending to speak broken English as you dragged your valise, porter threepence",,2,210,1330,1,5,45,2,34,143,50.8,0.06
95,"Rodot s, Paris",France,Europe,Stephen Dedalus,3.212,3,212,In Rodot's Yvonne and Madeleine newmake their tumbled beauties...,A patisserie at 9 Boulevard Saint-Michel in Paris,1,92,1330,1,16,45,1,29,143,48.8567,2.3508
102,Barcelona,Spain,Europe,Stephen Dedalus,3.223,3,223,"There was a fellow I knew once in Barcelona, queer fellow...",,1,76,1330,1,2,45,1,3,143,41.38333,2.18333
106,Malahide,Ireland,Europe,Stephen Dedalus,3.243,3,243,"Got up as a young bride, man, veil, orangeblossoms, drove out the road to Malahi",,5,556,1330,1,16,45,1,42,143,53.4508,-6.1544
107,Clerkenwell,England,Europe,Stephen Dedalus,3.248,3,248,"...with colonel Richard Burke, tanist of his sept, under the walls of Clerkenwel",,1,210,1330,1,5,45,1,34,143,51.52604,-0.10348
110,"Montmartre, Paris",France,Europe,Stephen Dedalus,3.251,3,251,"...the dingy printingcase, his three taverns, the Montmartre lair he sleeps shor",,1,92,1330,1,16,45,1,29,143,48.88694,2.34111
111,"rue de la Goutte-d Or, Paris",France,Europe,Stephen Dedalus,3.252,3,252,"the Montmartre lair he sleeps short night in, rue de la Goutte-d'Or...","A street in the Montmartre, Paris",1,92,1330,1,16,45,1,29,143,48.8567,2.3508
112,"rue Git-le-Coeur, Paris",France,Europe,Stephen Dedalus,3.254,3,254,"She is quite nicey comfy without her outcast man, madame in rue Git le Coeur...",A street near the Seine on the Left Bank,1,92,1330,1,16,45,1,29,143,48.8567,2.3508
113,Kilkenny,Ireland,Europe,Stephen Dedalus,3.257,3,257,I taught him to sing The boys of Kilkenny are stout roaring blades.,,7,556,1330,3,16,45,3,42,143,52.6477,-7.2561
115,Strongbow s Castle,Ireland,Europe,Stephen Dedalus,3.259,3,259,"Old Kilkenny: saint Canice, Strongbow's castle on the Nore.","Richard de Clare's castle on the Nore, built in 1172",1,556,1330,1,16,45,1,42,143,52.65028,-7.24917
118,Zion,Turkish Empire,Asia,Stephen Dedalus,3.264,3,264,"Remembering thee, O Sion",,6,109,186,1,1,1,1,10,14,31.76667,35.23333
123,York,England,Europe,Stephen Dedalus,3.314,3,314,"...Thomas Fitzgerald, silken knight, Perkin Warbeck, York's false scion",,3,210,1330,1,5,45,1,34,143,53.95833,-1.08028
127,Cloyne,Ireland,Europe,Stephen Dedalus,3.416,3,416,The good bishop of Cloyne took the veil of the temple out of his shovel hat...,,1,556,1330,1,16,45,1,42,143,51.86306,-8.12083
130,Gibraltar,Britain,Europe,Leopold Bloom,4.06,4,60,Must get those settled really. Pity. All the way from Gibraltar.,,26,85,1330,2,2,21,8,16,179,36.13333,-5.35
131,Plevna,Bulgaria,Europe,Leopold Bloom,4.063,4,63,"Hard as nails at a bargain, old Tweedy. Yes, sir. At Plevna that was.",,3,4,1330,1,1,21,1,1,179,43.41667,24.61667
135,Leitrim,Ireland,Europe,Leopold Bloom,4.127,4,127,Where do they get the money? Coming up redheaded curates from the county Leitrim,,1,556,1330,1,9,21,1,71,179,54.117,-8
136,Inishark,Ireland,Europe,Leopold Bloom,4.138,4,138,Boys are they? Yes. Irishturk. Irishark. Irishboffin.,,1,556,1330,1,9,21,1,71,179,53.6117,-10.2828
137,Inishboffin,Ireland,Europe,Leopold Bloom,4.138,4,138,Boys are they? Yes. Irishturk. Irishark. Irishboffin.,,1,556,1330,1,9,21,1,71,179,53.61667,-10.2
138,Inishturk,Ireland,Europe,Leopold Bloom,4.138,4,138,Boys are they? Yes. Irishturk. Irishark. Irishboffin.,,1,556,1330,1,9,21,1,71,179,53.7014,-10.1083
